motion_planner,path_efficiency
AStarPlanner,0.90625
AStarPlanner,0.8846153846153846
AStarPlanner,0.9285714285714286
AStarPlanner,0.8125
AStarPlanner,0.3076923076923077
AStarPlanner,0.8181818181818182
AStarPlanner,0.8596491228070176
AStarPlanner,0.9047619047619048
AStarPlanner,0.28205128205128205
AStarPlanner,0.7866666666666666
AStarPlanner,0.8571428571428571
AStarPlanner,0.75
AStarPlanner,0.8064516129032258
AStarPlanner,0.8620689655172413
AStarPlanner,0.9047619047619048
AStarPlanner,0.8947368421052632
AStarPlanner,0.7090909090909091
AStarPlanner,0.4117647058823529
AStarPlanner,0.32142857142857145
AStarPlanner,0.8461538461538461
AStarPlanner,0.8461538461538461
AStarPlanner,0.28735632183908044
AStarPlanner,0.65
AStarPlanner,0.4782608695652174
AStarPlanner,0.3770491803278688
AStarPlanner,0.8636363636363636
AStarPlanner,0.36538461538461536
AStarPlanner,0.8181818181818182
AStarPlanner,0.84
AStarPlanner,0.3076923076923077
AStarPlanner,0.8518518518518519
AStarPlanner,0.7647058823529411
AStarPlanner,0.8666666666666667
AStarPlanner,0.32142857142857145
AStarPlanner,0.8305084745762712
AStarPlanner,0.6455696202531646
AStarPlanner,0.8928571428571429
AStarPlanner,0.4
AStarPlanner,0.8529411764705882
AStarPlanner,0.8888888888888888
AStarPlanner,0.5434782608695652
AStarPlanner,0.5841584158415841
AStarPlanner,0.2857142857142857
AStarPlanner,0.3333333333333333
AStarPlanner,0.8947368421052632
AStarPlanner,0.09090909090909091
AStarPlanner,0.8
AStarPlanner,0.7878787878787878
AStarPlanner,0.22330097087378642
AStarPlanner,0.20930232558139536
AStarPlanner,0.7931034482758621
AStarPlanner,0.4936708860759494
AStarPlanner,0.21739130434782608
AStarPlanner,0.5
AStarPlanner,0.7931034482758621
AStarPlanner,0.9259259259259259
AStarPlanner,0.8666666666666667
AStarPlanner,0.3
AStarPlanner,0.6190476190476191
AStarPlanner,0.1724137931034483
AStarPlanner,0.90625
AStarPlanner,0.8846153846153846
AStarPlanner,0.9285714285714286
AStarPlanner,0.8125
AStarPlanner,0.3076923076923077
AStarPlanner,0.8181818181818182
AStarPlanner,0.8596491228070176
AStarPlanner,0.9047619047619048
AStarPlanner,0.28205128205128205
AStarPlanner,0.7866666666666666
AStarPlanner,0.8571428571428571
AStarPlanner,0.75
AStarPlanner,0.8064516129032258
AStarPlanner,0.8620689655172413
AStarPlanner,0.9047619047619048
AStarPlanner,0.8947368421052632
AStarPlanner,0.7090909090909091
AStarPlanner,0.4117647058823529
AStarPlanner,0.32142857142857145
AStarPlanner,0.5172413793103449
AStarPlanner,0.8461538461538461
AStarPlanner,0.8461538461538461
AStarPlanner,0.18571428571428572
AStarPlanner,0.30120481927710846
AStarPlanner,0.4782608695652174
AStarPlanner,0.4666666666666667
AStarPlanner,0.9047619047619048
AStarPlanner,0.3584905660377358
AStarPlanner,0.5454545454545454
